,GAN,Unet,AttUnet,DeeplabV3Plus,UnetPlusPlus,GAN_FirstStage
dice,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.7850467289719626, 0.7026506024096385, 0.7998236331569665, 0.782766111513396, 0.772859450726979, 0.8, 0.7731958762886598, 0.7852052935188327, 0.8604733309784528, 0.7888888888888889, 0.7759524641733659, 0.8058455114822547, 0.8022322985699337, 0.6893646893646893, 0.7550734779566131, 0.7225806451612903, 0.7457855697909642, 0.7603702434007542, 0.8038095238095239, 0.8374384236453202, 0.8044794188861986, 0.6685714285714286, 0.7221108884435538, 0.6386972122550373, 0.6433138726716708, 0.6786564400952129, 0.7113374430447601, 0.7508125677139762, 0.8175923315477869, 0.8518184550646228, 0.8262910798122066, 0.7771464646464646, 0.874828060522696, 0.9006576670128073, 0.8953323903818954, 0.8530174009626065, 0.8642160540135033, 0.9080954243253813, 0.8736842105263158, 0.8038477624424927, 0.8844349680170576, 0.8668786915038619, 0.7389060887512899, 0.750945434900054, 0.797573083287369, 0.777706598334401, 0.7672131147540984, 0.7545638945233266, 0.7997107736804049, 0.6419753086419753, 0.718384697130712, 0.7876787678767877, 0.8194130925507901, 0.8525714285714285, 0.7882219705549264, 0.7841059602649006, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37740276928730904, 0.4590890077815407, 0.5058928997692491, 0.5065263248565857, 0.553557812504429, 0.6622351403412218, 0.6858599716467737, 0.6810854784996749, 0.8213538631743739, 0.8248510824099103, 0.824035923727159, 0.8221527914262923, 0.7976998135568536, 0.6406168505762537, 0.6103479537721203, 0.5655068243804365, 0.4977439764170335, 0.4878617322025186, 0.4912253500900404, 0.5679093280067403, 0.5927372017253433, 0.5853877866784803, 0.5600642684995091, 0.4036085370044125, 0.38732563134952586, 0.5100524640829052, 0.5960021350995108, 0.6256500696179037, 0.7897078724223124, 0.7764422360570351, 0.771273479697955, 0.7081716575426898, 0.8714749196337409, 0.8705241015968779, 0.8542680105018305, 0.886242323550111, 0.8812878170676336, 0.8648369423946463, 0.8803317251557101, 0.8413940256045519, 0.8949341218731889, 0.8699974089883518, 0.7554691683690672, 0.7637223223227854, 0.8289382704552598, 0.7683997263589959, 0.7750145824920357, 0.7626741376956545, 0.7589668743950585, 0.7333435136390126, 0.7857943891287668, 0.5760153696242597, 0.5650677846887973, 0.6080107496140431, 0.6266387820729047, 0.7977468515753068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6996544083636812, 0.8191670174561043, 0.7705837106584091, 0.6835922995823475, 0.7498077409154221, 0.8500893901288678, 0.8298881970324761, 0.7745201452914877, 0.8396309419066417, 0.8136759390462912, 0.7898611898016997, 0.7963069512653179, 0.7694334900395712, 0.6765592037017611, 0.7066622287155077, 0.6943647194017754, 0.7470875402196827, 0.7633459158978086, 0.8119068228300919, 0.8000392583782415, 0.6586188841701088, 0.6336655282733714, 0.7050607186992776, 0.5721517398399322, 0.5476178439861249, 0.5518098977596693, 0.5395175399389582, 0.771762750732672, 0.7984689886852692, 0.845870837696652, 0.7452214216502592, 0.6619503046379575, 0.8745086817937866, 0.8591608725689464, 0.809936014706801, 0.8053041063696467, 0.7978410885141128, 0.7818587205259705, 0.8121072673206045, 0.8733775159633237, 0.8645759112686685, 0.80485795673262, 0.7298884011212778, 0.7402784134777644, 0.811183903211038, 0.7783955433875366, 0.7878684718672218, 0.8143617115494755, 0.7910657045053896, 0.7523081065832329, 0.7557510710937222, 0.8502276498135047, 0.8574353472361922, 0.860588867548852, 0.888700938284657, 0.8987527512839325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6205250596658711, 0.7403210576015109, 0.8213058419243986, 0.8322762508809021, 0.8598862019914651, 0.85383502170767, 0.8929466523451486, 0.8576602680188338, 0.7765137614678899, 0.8257309941520468, 0.7819209039548023, 0.7741203178206584, 0.792299148463532, 0.6858678955453149, 0.7095256762054096, 0.645135244247073, 0.6429752066115703, 0.5740338688666956, 0.6397670549084858, 0.8152958152958153, 0.8064624705486368, 0.5655546935608999, 0.7079318013343218, 0.6863591105210753, 0.6601680672268908, 0.6485449312440038, 0.6554934823091247, 0.5673316708229427, 0.695679596341848, 0.7069306930693069, 0.8157199471598415, 0.8172823218997362, 0.8194244604316546, 0.8691213999270871, 0.8442437923250564, 0.8850256815487949, 0.8911917098445595, 0.87943848059455, 0.8622601279317698, 0.7546337157987644, 0.8649386084583902, 0.8854886475814413, 0.8415730337078652, 0.874187832250443, 0.8552552552552553, 0.7761394101876675, 0.7908269631688672, 0.8014388489208633, 0.8314606741573034, 0.5046875, 0.5674814027630181, 0.623773173391494, 0.6410958904109589, 0.46956521739130436, 0.15126050420168066, 0.49477351916376305, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan, 0.0, 0.0]","[nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6365258774538964, 0.6357181867831786, 0.7503552818569399, 0.7873517786561265, 0.6819625838333921, 0.7595212187159956, 0.8172874209416725, 0.8230480736447323, 0.7723855092276145, 0.7928546891102713, 0.7762645914396887, 0.7484035759897829, 0.7248149340199549, 0.5660240087304474, 0.5672645739910314, 0.45037037037037037, 0.4357852882703777, 0.36002039775624683, 0.12078152753108348, 0.045427375971309025, 0.01644157369348209, 0.2680237489397795, 0.36982369823698236, 0.5524060646011866, 0.5919173503494378, 0.6746234725774368, 0.6638608305274972, 0.6741889985895627, 0.7823050058207218, 0.7944293066908871, 0.8313479623824451, 0.8381446642880311, 0.8070301291248206, 0.8546190651453809, 0.8604826546003017, 0.9124752475247525, 0.9167662285941856, 0.9201612903225806, 0.8894430590191189, 0.8056628056628057, 0.9023215067893123, 0.8914233576642335, 0.7921940928270043, 0.8183856502242153, 0.8180262407301768, 0.7787375415282392, 0.8600143575017947, 0.8543976348854397, 0.7406451612903225, 0.43376623376623374, 0.42316602316602314, 0.49161073825503354, 0.5339712918660288, 0.5791245791245792, 0.5647321428571429, 0.035326086956521736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.7945205479452054, 0.7364485981308411, 0.8228228228228228, 0.7730727470141151, 0.8072174738841406, 0.7842323651452282, 0.7381299155257792, 0.6923076923076923, 0.7731767614338689, 0.7831280328480776, 0.7809187279151943, 0.8193202146690519, 0.8320284697508897, 0.7409884801189149, 0.7432228915662651, 0.7647259107933265, 0.7795355099293168, 0.7454610181559274, 0.7549713515335356, 0.7543624161073825, 0.7464655984919887, 0.6605113636363636, 0.7060117302052786, 0.6953316953316954, 0.711006474396704, 0.6937995083310571, 0.699678800856531, 0.7635977712921199, 0.8049723756906078, 0.8685121107266436, 0.823565510892912, 0.7909987669543773, 0.8657314629258517, 0.8865701783911141, 0.8976049982644915, 0.8474945533769063, 0.8620051794302627, 0.9020657995409335, 0.8691514670896114, 0.8612836438923396, 0.8920068027210885, 0.8558718861209964, 0.7497467071935157, 0.759958071278826, 0.8437158469945355, 0.7981947130883301, 0.7744510978043913, 0.8166915052160953, 0.7806451612903226, 0.6611433305716653, 0.7613038906414301, 0.816414686825054, 0.8295454545454546, 0.8585017835909632, 0.7055555555555556, 0.0935412026726058, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
iou,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.6461538461538462, 0.5416047548291233, 0.6664217487141807, 0.6430696014277216, 0.6298051606108478, 0.6666666666666666, 0.6302521008403361, 0.6463687150837989, 0.755114693118413, 0.6513761467889908, 0.633923472301542, 0.6748251748251748, 0.6697728596389051, 0.5259775040171398, 0.6065205171444632, 0.5656565656565656, 0.5946236559139785, 0.6133849557522124, 0.6719745222929936, 0.7203389830508474, 0.6729113924050633, 0.5021459227467812, 0.5650810245687402, 0.4691808596918086, 0.47418032786885245, 0.5136108887109688, 0.5519966722129783, 0.601040763226366, 0.6914639961850262, 0.7418848167539267, 0.704, 0.6355188435725349, 0.7775061124694377, 0.8192695214105793, 0.8104993597951344, 0.7437056165267915, 0.760898282694848, 0.8316618911174785, 0.7757009345794392, 0.672027972027972, 0.7928134556574924, 0.7650360866078588, 0.5859247135842881, 0.6012110726643599, 0.6633027522935779, 0.6362683438155137, 0.6223404255319149, 0.6058631921824105, 0.6662650602409639, 0.4727272727272727, 0.560530679933665, 0.6497277676950998, 0.6940726577437859, 0.7430278884462151, 0.6504672897196262, 0.644880174291939, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23864648263579696, 0.2985803016858917, 0.3399830220713073, 0.34317757009345795, 0.39693757361601884, 0.5074483421432003, 0.5275064267352185, 0.5112575507962658, 0.6739974126778784, 0.6676279740447008, 0.6680327868852459, 0.658520027155465, 0.6332665330661322, 0.42678923177938277, 0.3939393939393939, 0.3665158371040724, 0.3271072796934866, 0.31477927063339733, 0.31596399810516346, 0.3775894538606403, 0.40629213483146065, 0.4045596781403666, 0.38266283524904215, 0.23445345693317884, 0.22815158546017014, 0.33058192323565827, 0.4041155866900175, 0.4195672624647225, 0.6104553119730185, 0.5947674418604652, 0.5835829838226483, 0.5068649885583524, 0.7272064186725018, 0.7272058823529411, 0.6997792494481236, 0.7562349155269509, 0.7512038523274478, 0.719482619240097, 0.745531914893617, 0.688026981450253, 0.7646528403967539, 0.7331460674157303, 0.590080971659919, 0.5915343915343916, 0.6892655367231638, 0.620817843866171, 0.6199213630406291, 0.5956580732700135, 0.5822959889349931, 0.5512465373961218, 0.6058091286307054, 0.4031563845050215, 0.39714285714285713, 0.43843843843843844, 0.45555555555555555, 0.6361607142857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4913344887348354, 0.6397361912613355, 0.6081180811808118, 0.48243559718969553, 0.5856524427952999, 0.7115789473684211, 0.6719503790489317, 0.5985303941215765, 0.6901709401709402, 0.6688264938804895, 0.6386333771353482, 0.6424361493123772, 0.619375, 0.4826946847960445, 0.5167525773195877, 0.4988262910798122, 0.5657492354740061, 0.5824108241082411, 0.6636636636636637, 0.6452581032412965, 0.4513598326359833, 0.4308617234468938, 0.553972602739726, 0.39809193408499566, 0.35783284334313314, 0.3529641185647426, 0.3403041825095057, 0.6191832858499525, 0.6316905140434552, 0.704093567251462, 0.554806070826307, 0.4532412327311371, 0.7526652452025586, 0.7230014025245441, 0.6479166666666667, 0.6466275659824047, 0.6327724945135332, 0.6129753914988815, 0.6532385466034755, 0.7573402417962003, 0.7350649350649351, 0.640107430617726, 0.5613861386138614, 0.5663900414937759, 0.6718576195773082, 0.6325224071702945, 0.6399474375821288, 0.6747159090909091, 0.6189111747851003, 0.5626780626780626, 0.6173752310536045, 0.7451403887688985, 0.74, 0.7527593818984547, 0.7728285077951003, 0.7795823665893271, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44982698961937717, 0.5877061469265368, 0.6967930029154519, 0.7127338563669282, 0.7542108546475359, 0.7449494949494949, 0.8065976714100905, 0.7507926442612556, 0.6346730653869226, 0.703187250996016, 0.6419294990723562, 0.6314814814814815, 0.6560392397302268, 0.5219170075978959, 0.5498177399756987, 0.4761620977353993, 0.47381242387332523, 0.402557856272838, 0.4703363914373089, 0.6881851400730816, 0.6756909193457417, 0.3942671714440238, 0.5479059093516925, 0.5224861040929762, 0.4927245358755645, 0.4798864174159962, 0.48753462603878117, 0.39599651871192343, 0.5333655705996132, 0.5467075038284839, 0.6887897378694925, 0.6910206358059119, 0.6940889701401585, 0.7685364281108962, 0.73046875, 0.7937632884479093, 0.8037383177570093, 0.7848194546794399, 0.7578710644677661, 0.6059532246633593, 0.7620192307692307, 0.7945084145261293, 0.7264791464597479, 0.776495278069255, 0.7471143756558237, 0.6341730558598029, 0.6540229885057471, 0.6686674669867947, 0.7115384615384616, 0.3375130616509927, 0.3961424332344214, 0.4532488114104596, 0.4717741935483871, 0.3068181818181818, 0.08181818181818182, 0.3287037037037037, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan, 0.0, 0.0]","[nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4668411867364747, 0.46597277822257804, 0.6004548900682335, 0.6492829204693612, 0.5174076057846813, 0.612280701754386, 0.691027926322044, 0.6993047508690614, 0.6291759465478842, 0.6568013659647126, 0.6343402225755167, 0.5979591836734693, 0.5683997980817769, 0.39472349061390155, 0.39593114241001565, 0.29063097514340347, 0.2785968479918658, 0.21952736318407962, 0.06427221172022685, 0.023241590214067277, 0.008288928359976317, 0.15475024485798236, 0.22686116700201206, 0.38160291438979965, 0.4203711696158826, 0.5090051457975986, 0.49685006299874, 0.5085106382978724, 0.6424474187380497, 0.6589653440482169, 0.7113733905579399, 0.7213847012841987, 0.6764882742032472, 0.7461439588688946, 0.7551290536068829, 0.8390386016023307, 0.8463235294117647, 0.8521284540702017, 0.8008982035928144, 0.6745689655172413, 0.8220271348762969, 0.8041152263374486, 0.6558951965065503, 0.6925996204933587, 0.6920849420849421, 0.6376496191512514, 0.7544080604534005, 0.7458064516129033, 0.5881147540983607, 0.2769485903814262, 0.2683643486777669, 0.3259176863181313, 0.3642297650130548, 0.4075829383886256, 0.39346811819595645, 0.017980636237897647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.6590909090909091, 0.5828402366863905, 0.6989795918367347, 0.6300884955752213, 0.6767515923566879, 0.6450511945392492, 0.5849492151431209, 0.5294117647058824, 0.6302267002518892, 0.6435582822085889, 0.6405797101449275, 0.693939393939394, 0.712370505789153, 0.588547815820543, 0.591372079089275, 0.6190738699007717, 0.6387203530060673, 0.594211123723042, 0.6063887384948565, 0.6056034482758621, 0.5954887218045113, 0.4931071049840933, 0.5456090651558073, 0.5329566854990584, 0.5515981735159817, 0.5311585110832288, 0.5380815150267599, 0.6175965665236052, 0.6736014794267221, 0.7675840978593272, 0.7000521648408973, 0.6542580316165222, 0.7632508833922261, 0.7962515114873036, 0.8142317380352645, 0.7353497164461248, 0.7574772431729518, 0.821602787456446, 0.7685834502103787, 0.7563636363636363, 0.805065234075211, 0.7480559875583204, 0.5996758508914101, 0.6128486897717667, 0.7296786389413988, 0.6641630901287554, 0.6319218241042345, 0.690176322418136, 0.6402116402116402, 0.4938118811881188, 0.6146010186757216, 0.6897810218978102, 0.7087378640776699, 0.7520833333333333, 0.5450643776824035, 0.04906542056074766, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Recall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.8364779874213837, 0.8181818181818182, 0.8328741965105602, 0.7666666666666667, 0.690132717830352, 0.715606936416185, 0.6932409012131716, 0.7407170294494239, 0.8285714285714286, 0.7542492917847026, 0.7751396648044693, 0.8019390581717452, 0.8041958041958042, 0.6516257465162575, 0.7043080939947781, 0.7551454932576295, 0.7734265734265734, 0.8024602026049205, 0.8099808061420346, 0.8217522658610272, 0.7794721407624633, 0.7793505412156536, 0.6885350318471337, 0.6395798783858485, 0.6463687150837989, 0.6519308943089431, 0.6900676027041082, 0.7321711568938193, 0.8123249299719888, 0.847488038277512, 0.832807570977918, 0.7840764331210192, 0.8180064308681672, 0.8464541314248536, 0.8577235772357723, 0.7804878048780488, 0.7972318339100346, 0.8690119760479041, 0.8192862566438877, 0.7560975609756098, 0.834271922767498, 0.8146883005977796, 0.626421697287839, 0.6538099717779868, 0.7081292850146915, 0.6569264069264069, 0.6573033707865169, 0.6556991774383079, 0.7324503311258278, 0.6020260492040521, 0.6550387596899225, 0.7458333333333333, 0.7840172786177105, 0.8215859030837004, 0.7820224719101123, 0.9051987767584098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26870474658085275, 0.33783247320365223, 0.3566923615977575, 0.3588621444201313, 0.39268680445151033, 0.5028924026224451, 0.5443634804972138, 0.5803212851405622, 0.7393284006829823, 0.7916381082933516, 0.8368055555555556, 0.8384188626907073, 0.8120665742024965, 0.7042965459140691, 0.6870026525198939, 0.6426877470355731, 0.4629424778761062, 0.46807264206209725, 0.4816350710900474, 0.525, 0.5156669650850493, 0.5090497737556561, 0.4726156751652502, 0.3948412698412698, 0.3803961401726765, 0.48665696263949537, 0.574384236453202, 0.6537364517969195, 0.8565079365079366, 0.8239482200647249, 0.8287068381855112, 0.7574525745257452, 0.8635423845623708, 0.8674614305750351, 0.8673469387755102, 0.8556851311953353, 0.8496350364963504, 0.8602316602316602, 0.852803738317757, 0.8107680126682502, 0.8700980392156863, 0.831918505942275, 0.6573489630297565, 0.6865234375, 0.7504970178926441, 0.6444906444906445, 0.6782407407407407, 0.6973180076628352, 0.7123655913978495, 0.6774628879892037, 0.7469635627530364, 0.4422360248447205, 0.4308641975308642, 0.473753280839895, 0.5152838427947598, 0.812206572769953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7560483870967742, 0.8445199660152931, 0.7065663474692202, 0.62, 0.6753986332574032, 0.8126614987080103, 0.810126582278481, 0.7746870653685675, 0.8353105373342637, 0.7762525737817433, 0.7808951235804943, 0.7820934825543121, 0.7291031116534472, 0.6512549537648613, 0.6779324055666004, 0.7350901525658807, 0.7871012482662968, 0.7964601769911505, 0.8034960819770947, 0.804079110012361, 0.6587817859254879, 0.6138007790762382, 0.5962944904924428, 0.5430528375733855, 0.5206532180595581, 0.499370012599748, 0.4815415821501014, 0.6918429003021148, 0.7874933757286698, 0.8286516853932584, 0.7582619339045288, 0.6813939016801493, 0.8224476854787571, 0.8139386189258312, 0.7965397923875432, 0.7557093425605537, 0.7520949720670391, 0.7628012048192772, 0.7726586102719033, 0.82571649883811, 0.8190401258851299, 0.7824933687002652, 0.6338155515370705, 0.6650342801175319, 0.731610337972167, 0.6681367144432194, 0.6882217090069284, 0.7370417193426043, 0.757703081232493, 0.7183908045977011, 0.6291079812206573, 0.7653631284916201, 0.7875243664717348, 0.7735849056603774, 0.837573385518591, 0.8627858627858628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8710217755443886, 0.8394004282655246, 0.8320278503046127, 0.7947510094212651, 0.8337931034482758, 0.8434596140100071, 0.8781690140845071, 0.8604651162790697, 0.7756598240469208, 0.8292873923257635, 0.8466557911908646, 0.843363561417972, 0.8465189873417721, 0.7076069730586371, 0.7387755102040816, 0.8490967056323061, 0.8800904977375565, 0.8606770833333334, 0.9412484700122399, 0.9584393553859203, 0.8731778425655977, 0.7446373850868233, 0.749607535321821, 0.8623853211009175, 0.8407534246575342, 0.771689497716895, 0.7468175388967468, 0.6458481192334989, 0.7828246983676366, 0.7789090909090909, 0.8709449929478138, 0.8640167364016736, 0.798177995795375, 0.8569374550682962, 0.8591117917304747, 0.8575803981623277, 0.8680124223602484, 0.8867610324729392, 0.8481543624161074, 0.7460732984293194, 0.8669097538742023, 0.9006024096385542, 0.7604060913705584, 0.8176795580110497, 0.8155784650630011, 0.6771929824561403, 0.7077114427860697, 0.7309711286089239, 0.785007072135785, 0.4785185185185185, 0.5174418604651163, 0.5860655737704918, 0.762214983713355, 0.8766233766233766, 0.9473684210526315, 0.9726027397260274, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8887043189368771, 0.8995363214837713, 0.8497854077253219, 0.8455008488964346, 0.6566961250849762, 0.7521551724137931, 0.7895451459606245, 0.7797157622739018, 0.7220447284345048, 0.7110289587184226, 0.7232628398791541, 0.6886016451233843, 0.6742514970059881, 0.5529495380241649, 0.5622222222222222, 0.5223367697594502, 0.5597548518896833, 0.8286384976525821, 1.0, 0.475, 0.1346153846153846, 0.4163372859025033, 0.44433497536945815, 0.6868852459016394, 0.6563342318059299, 0.6957796014067995, 0.6736902050113895, 0.6844215349369989, 0.8028673835125448, 0.7961165048543689, 0.839240506329114, 0.87003367003367, 0.7839721254355401, 0.8505494505494505, 0.8776923076923077, 0.8861538461538462, 0.8922480620155039, 0.9062748212867355, 0.8539505187549881, 0.7753922378199835, 0.8721422523285352, 0.8407917383820999, 0.6821071752951862, 0.7329317269076305, 0.7460978147762747, 0.6751152073732719, 0.7902374670184696, 0.7972413793103448, 0.6225596529284165, 0.3572192513368984, 0.31494252873563217, 0.3840104849279161, 0.44855305466237944, 0.548936170212766, 0.5524017467248908, 0.04220779220779221, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.8414507772020725, 0.8242677824267782, 0.8324652777777778, 0.7569099929128278, 0.7095158597662772, 0.6585365853658537, 0.6150485436893204, 0.5864661654135338, 0.6672, 0.7541337167505392, 0.788722341184868, 0.8388278388278388, 0.8514202476329206, 0.7390659747961453, 0.7421052631578947, 0.801570306923626, 0.8069686411149826, 0.8218210361067504, 0.8115942028985508, 0.8103821196827685, 0.75, 0.7641741988496302, 0.7384969325153374, 0.7850208044382802, 0.7592708988057826, 0.6872294372294372, 0.6779045643153527, 0.7304568527918782, 0.7841765339074274, 0.8306674020959736, 0.813826561552456, 0.7794653705953828, 0.7897623400365631, 0.8134651019147622, 0.8456507521255723, 0.76324395029431, 0.7860998650472335, 0.8463747307968413, 0.8005843681519357, 0.803088803088803, 0.8392, 0.7898193760262726, 0.6276505513146734, 0.6473214285714286, 0.74373795761079, 0.6772428884026258, 0.6705069124423964, 0.7675070028011205, 0.7908496732026143, 0.6627906976744186, 0.688212927756654, 0.7605633802816901, 0.7986870897155361, 0.8595238095238096, 0.900709219858156, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
