,GAN,Unet,AttUnet,DeeplabV3Plus,UnetPlusPlus
dice,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.7281921618204804, 0.7357142857142858, 0.7394366197183099, 0.6633663366336634, 0.713326941514861, 0.7601128880526811, 0.781055900621118, 0.7129951355107713, 0.7464985994397759, 0.7369901547116737, 0.8083109919571045, 0.8062015503875969, 0.8405491024287223, 0.8407445708376422, 0.81985670419652, 0.786692759295499, 0.8582412301777992, 0.8626710712600283, 0.8938700823421775, 0.8230801866779804, 0.7171347171347171, 0.7068062827225131, 0.7608047690014903, 0.7873203096203465, 0.8093693693693693, 0.8463172804532578, 0.8506075768406004, 0.8469170800850461, 0.8416289592760181, 0.8105482303955587, 0.8224489795918367, 0.8224489795918367, 0.8023369036027264, 0.8079470198675497, 0.8331273176761433, 0.8052785923753666, 0.8181553680535351, 0.8332853440829254, 0.8460217515741271, 0.8361031518624642, 0.8561891515994436, 0.8582333696837514, 0.8664688427299704, 0.8612593383137673, 0.8719172633253779, 0.865945945945946, 0.8657282079047104, 0.8200922603792927, 0.696360153256705, 0.6961063627730294, 0.6732071945807054, 0.6685223845975412, 0.6751824817518248, 0.6753246753246753, 0.6731996353691887, 0.6876603685560998, 0.6827348745696016, 0.7027595269382392, 0.6975374732334048, 0.6996699669966997, 0.6955074875207987, 0.6921322690992018, 0.6412037037037037, 0.6410102224894768, 0.6629935720844812, 0.663151364764268, 0.6708229426433915, 0.6813801678582531, 0.6900403350915296, 0.7458530805687204, 0.7525682418550044, 0.7938758151403459, 0.8100056211354694, 0.8069390039171797, 0.7982012366498032, 0.7939017504234895, 0.7886133032694476, 0.7852102737792831, 0.7881188118811882, 0.7854319593450029, 0.7830479932641032, 0.7852518998029834, 0.7899915659263425, 0.7856941706561532]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5299948558357078, 0.5188330925382718, 0.5147398197100832, 0.5351297361533358, 0.6006731240450863, 0.6747249329917517, 0.8024959892916548, 0.8204281325683078, 0.8313907395950244, 0.8307336620499645, 0.8696558361428142, 0.8557610860557222, 0.8051614895128867, 0.8470816575193281, 0.8380501067506467, 0.8197894924917365, 0.8012629138940511, 0.7756136297431354, 0.827821674041627, 0.8609762393090843, 0.8122554986586132, 0.7520262708967722, 0.7733619529458678, 0.7632194419642168, 0.7707639673763631, 0.7893218371745979, 0.7959030483524949, 0.8126098894482044, 0.8067635309548479, 0.7853801847771464, 0.7902544804027434, 0.7902544804027434, 0.7391435333418342, 0.7444729745872936, 0.7760640824205721, 0.7514642855344201, 0.7639146192113004, 0.7704134238925032, 0.7655422791399249, 0.7644072356421274, 0.7724645142670562, 0.7484821864554871, 0.7418317741644537, 0.7091694882007283, 0.7438407054672268, 0.7428242584476294, 0.7380214979210045, 0.7237562345446162, 0.5594527157388144, 0.5223322970610801, 0.5104348385249965, 0.4993218152149754, 0.4768213464946871, 0.4632884395118291, 0.41648393827659563, 0.44596376257110815, 0.4541978987928595, 0.4765018924052262, 0.4569307982474074, 0.4733517595725646, 0.46702633478566075, 0.47618487163045153, 0.4712126430499729, 0.49667873452177735, 0.5751677274367639, 0.6136751427949454, 0.6297335040025749, 0.6598782432236556, 0.6943076142451089, 0.723058870434302, 0.712095195810152, 0.6810655659929784, 0.6606041640589143, 0.6667967652938164, 0.6548626355837858, 0.6423476021932601, 0.6450556251289307, 0.6384981654780063, 0.6246424110974625, 0.6226490793834987, 0.6191902878871517, 0.6225817486419876, 0.6385739390749869, 0.6378991101395606]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5540318826154661, 0.5293557855089305, 0.5962039590984594, 0.6656317180742802, 0.8024439633615338, 0.8356812996508975, 0.8283799726924453, 0.8430766093399497, 0.8404609821653013, 0.7921093883379119, 0.8265336985922552, 0.8319012763762464, 0.7637229855692881, 0.7869724191267659, 0.8029532773987079, 0.792418200183539, 0.7639091879464652, 0.7174815630883574, 0.7350486900541906, 0.768400363205626, 0.8098570748471886, 0.7700971755659439, 0.7925723499114684, 0.7900234426040506, 0.7727326636925126, 0.786714376250382, 0.7902445526228897, 0.7780491278879993, 0.7814980353206653, 0.7408521852772364, 0.726654291177579, 0.726654291177579, 0.8161694804239132, 0.7943816162117857, 0.7923723452789126, 0.7492358870702649, 0.7487023372793379, 0.7767988322502756, 0.7848453531805248, 0.8217340414947407, 0.823302695133525, 0.8184710479007339, 0.8055126067755158, 0.7790835650881383, 0.7606315100251883, 0.7706454987194143, 0.7793482394801168, 0.7768295912374665, 0.6861756659548799, 0.6963687318988409, 0.7026470166303853, 0.6988246208548282, 0.7141247278780893, 0.7189377824783227, 0.7060191366156507, 0.7060857965385162, 0.6745602231735643, 0.6680520015119941, 0.6263001695430486, 0.6052199829189856, 0.6572166574773379, 0.7018627971914817, 0.6782402316648005, 0.6485470256326049, 0.6671714539197051, 0.7024351245450701, 0.7238861741879851, 0.7289373554243578, 0.7337373119055668, 0.7392325332728217, 0.7511160622769193, 0.7422775917019453, 0.721136228061541, 0.7038327930537808, 0.7024595053872298, 0.7109151853268846, 0.7137456067099189, 0.7175192038094796, 0.7154351716773699, 0.7068096623256993, 0.7026896337685676, 0.7080556729061362, 0.7229694341082352, 0.724891951071318]","[nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.7104247104247104, 0.7770700636942676, 0.7876447876447876, 0.6695187165775401, 0.8252516010978957, 0.824360105913504, 0.7893379191745485, 0.7601351351351351, 0.7136, 0.6759474091260634, 0.7579102281089036, 0.7940959409594096, 0.7446189645142525, 0.7474402730375427, 0.6994285714285714, 0.6795907377490576, 0.7588390501319261, 0.7987584066218314, 0.8353929807217004, 0.7987477638640429, 0.6496598639455783, 0.6435527853525517, 0.6875244427062964, 0.6929996089166992, 0.7242297451502473, 0.7491538172245205, 0.7417016405951927, 0.771969696969697, 0.8247499073731012, 0.8516363636363636, 0.8679381072328176, 0.8679381072328176, 0.7147719537100068, 0.7383488681757656, 0.7742987606001305, 0.7562344139650873, 0.7610729881472239, 0.7742725880551302, 0.7742520398912058, 0.7506783237865541, 0.7357078718946424, 0.7356390977443609, 0.7326186830015314, 0.737527114967462, 0.772768532526475, 0.7845404747413268, 0.7792682926829269, 0.758109360518999, 0.6394911824226656, 0.6548974943052391, 0.6340040828229805, 0.6241258741258742, 0.6861397479954181, 0.6826417299824664, 0.6171171171171171, 0.6131767775603392, 0.642024642024642, 0.5870755750273823, 0.48753016894609813, 0.6717770034843206, 0.6752351097178684, 0.6381784154709919, 0.5810899540380827, 0.5516764604217076, 0.6180986605684416, 0.6115271898404429, 0.6455736657078939, 0.6485633091253552, 0.6660418619181506, 0.7381703470031545, 0.7405906195715113, 0.7908809456797072, 0.8042602187679908, 0.8193832599118943, 0.788478324119872, 0.7920621225194133, 0.7921199647162599, 0.7917661097852029, 0.8153247530679437, 0.8044623489308955, 0.8031784841075794, 0.8013345465574765, 0.8144635447540012, 0.8046875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5226480836236934, 0.5859213250517599, 0.6311475409836066, 0.5752930568079351, 0.6141015921152388, 0.649270913277053, 0.7001414427157001, 0.6845360824742268, 0.7234988880652335, 0.7545671167593329, 0.8534151957022257, 0.8685968819599109, 0.7270545890821836, 0.7290930506478209, 0.7537520844913841, 0.7483341875961046, 0.8489713998996488, 0.8965179009318294, 0.9263256687001408, 0.8505550811272417, 0.745905081898362, 0.7162110127069696, 0.7395993836671803, 0.7465331278890601, 0.7721280602636534, 0.7870197687430064, 0.7866868381240545, 0.8196844477836214, 0.8423423423423423, 0.8462983840661406, 0.8913509649749821, 0.8913509649749821, 0.7501670006680027, 0.7961661341853035, 0.8456042249145698, 0.831764705882353, 0.8479396401625072, 0.8475064860190257, 0.8497109826589595, 0.8211382113821138, 0.8058925476603119, 0.8, 0.8028612303290414, 0.7957483481758115, 0.8088277443393522, 0.7995324371712449, 0.7868852459016393, 0.7479303454182129, 0.6385311044121678, 0.6240042485395645, 0.6029679770892996, 0.58887171561051, 0.5806780525108336, 0.5921292676570237, 0.5987193169690501, 0.6038579815487839, 0.6325474410580794, 0.6469907407407407, 0.6498385676548283, 0.6353982300884956, 0.5635294117647058, 0.5375, 0.4827790973871734, 0.5016077170418006, 0.5106259097525473, 0.5040118870728083, 0.5335689045936396, 0.5461654135338346, 0.5535215637604716, 0.5848513902205177, 0.5584239130434783, 0.5343137254901961, 0.5211819152723389, 0.5007256894049347, 0.3576, 0.35760517799352753, 0.33982594280978035, 0.3354192740926158, 0.31793132683340397, 0.2910189982728843, 0.2518981688253685, 0.21138952164009112, 0.15187470336971998, 0.1171875]"
iou,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.5725646123260437, 0.5819209039548022, 0.5865921787709497, 0.4962962962962963, 0.5543964232488823, 0.6130500758725341, 0.640764331210191, 0.5539956803455723, 0.5955307262569832, 0.5835189309576837, 0.6782902137232846, 0.6753246753246753, 0.7249544626593807, 0.7252453166815344, 0.6947094535993061, 0.6483870967741936, 0.7516835016835017, 0.75850622406639, 0.8081058726220016, 0.6993511175198269, 0.559010152284264, 0.5465587044534413, 0.613950691521347, 0.6492401215805471, 0.6797820823244553, 0.7335788827501535, 0.7400497512437811, 0.734480639213276, 0.7265625, 0.6814469078179697, 0.6984402079722704, 0.6984402079722704, 0.6699186991869919, 0.6777777777777778, 0.7139830508474576, 0.6740304369170349, 0.6922698178237322, 0.7142152023692004, 0.7331349206349206, 0.7183653372722797, 0.7485408560311284, 0.7516714422158548, 0.7643979057591623, 0.7563261480787254, 0.7729196050775741, 0.763584366062917, 0.7632458233890215, 0.6950477845351868, 0.5341660543717854, 0.5338674435542607, 0.5073943661971831, 0.5020905923344948, 0.509641873278237, 0.5098039215686274, 0.5073857780831329, 0.5239957340917171, 0.5182972367438387, 0.5417341977309562, 0.5355528154541718, 0.5380710659898477, 0.5331632653061225, 0.5292066259808196, 0.47189097103918226, 0.47168141592920354, 0.4958791208791209, 0.4960556844547564, 0.5046904315196998, 0.5167373880245167, 0.5267645665561346, 0.5947094945677845, 0.6032941176470589, 0.6582040432534085, 0.6806802078412848, 0.6763602251407129, 0.6641721234798877, 0.6582397003745318, 0.6510004653327129, 0.6463754646840149, 0.6503267973856209, 0.6466759646675965, 0.643450184501845, 0.6464318813716404, 0.6528810408921933, 0.6470315398886828]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3688888888888889, 0.35422740524781343, 0.347953216374269, 0.34818941504178275, 0.4083694083694084, 0.4821150855365474, 0.651702786377709, 0.6860282574568289, 0.700152207001522, 0.701062215477997, 0.7566765578635015, 0.7311522048364154, 0.6324607329842932, 0.6904761904761905, 0.6730769230769231, 0.6378174976481655, 0.6196150320806599, 0.5924256086564472, 0.6675874769797422, 0.7046413502109705, 0.6384676775738228, 0.5586017820424949, 0.5892608089260809, 0.5780068728522336, 0.5846994535519126, 0.6119096509240246, 0.627972027972028, 0.6447552447552447, 0.6269786648313833, 0.6016150740242261, 0.6138347884486233, 0.6138347884486233, 0.5435179549604382, 0.5550996483001173, 0.5858585858585859, 0.554945054945055, 0.5738699007717751, 0.5862445414847162, 0.5730643402399127, 0.5747126436781609, 0.5827416712179138, 0.563188253801783, 0.5553869499241275, 0.514378478664193, 0.5577100646352724, 0.5612963832785345, 0.5555555555555556, 0.5369939506747324, 0.36998394863563405, 0.3397486252945797, 0.333731581043409, 0.3156186612576065, 0.2994883903974813, 0.2896049098580744, 0.25468577728776187, 0.26868392271235875, 0.2799406748238784, 0.3013749535488666, 0.28291420118343197, 0.2971257932064203, 0.29289940828402367, 0.29958285930982176, 0.2900647125999239, 0.31262288635469915, 0.38663386633866337, 0.4275393115172121, 0.44439579684763575, 0.4809954751131222, 0.5147271849348141, 0.548162859980139, 0.5320197044334976, 0.5037243947858473, 0.4822222222222222, 0.49029126213592233, 0.4768007070260716, 0.4668112798264642, 0.46832678025338575, 0.4637618636755824, 0.4451063829787234, 0.4418505942275042, 0.43670886075949367, 0.4399150743099788, 0.45791972378075096, 0.45533391153512576]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38794233289646135, 0.3656207366984993, 0.4217252396166134, 0.48091603053435117, 0.6268174474959612, 0.6831683168316832, 0.6897106109324759, 0.7036423841059603, 0.7170111287758346, 0.6494845360824743, 0.6946778711484594, 0.7074175824175825, 0.5899280575539568, 0.6164241164241164, 0.6427840327533265, 0.6150907354345749, 0.5765027322404371, 0.5229276895943563, 0.5429583702391497, 0.595655806182122, 0.6555374592833876, 0.5955056179775281, 0.625531914893617, 0.6227208976157083, 0.6042524005486969, 0.6202878684030158, 0.6166089965397924, 0.6063257065948856, 0.6085808580858085, 0.5547815072830906, 0.5318374772589448, 0.5318374772589448, 0.6631382316313823, 0.6277286135693215, 0.6212741087083576, 0.5742311770943797, 0.5743779777660137, 0.6018269747447609, 0.6186935740839087, 0.677938808373591, 0.6919959473150963, 0.6879361914257228, 0.6711409395973155, 0.6335632183908046, 0.6068262411347518, 0.6271186440677966, 0.6416666666666667, 0.6367006487488415, 0.5212897891690781, 0.5326041228439209, 0.5382978723404256, 0.5324508966695133, 0.5558978873239436, 0.5561450044208665, 0.5395652173913044, 0.5393939393939394, 0.502125850340136, 0.4870707927087749, 0.4376348726801899, 0.42000844238075136, 0.48005260850504167, 0.5226628895184136, 0.48985370457763094, 0.46804326450344147, 0.4822411205602801, 0.5139442231075697, 0.5431726907630522, 0.5508048289738431, 0.5595358224016145, 0.5667851701371255, 0.5731327800829875, 0.5611770779556015, 0.5282730514518594, 0.5126676602086438, 0.5145348837209303, 0.5231071779744346, 0.522189349112426, 0.5261584454409567, 0.5243055555555556, 0.5081401085347804, 0.5024557956777996, 0.512983831455169, 0.531496062992126, 0.5333993072736269]","[nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.5508982035928144, 0.6354166666666666, 0.6496815286624203, 0.5032154340836013, 0.7024922118380063, 0.7012012012012012, 0.6519886363636364, 0.6130790190735694, 0.554726368159204, 0.5105140186915887, 0.6101895734597157, 0.6585067319461444, 0.593141797961075, 0.5967302452316077, 0.5377855887521968, 0.5146818923327896, 0.6113945578231292, 0.664944013781223, 0.7173174872665535, 0.6649292628443783, 0.4811083123425693, 0.4744399770246984, 0.5238379022646007, 0.5302214242968283, 0.56768038163387, 0.5989176187612748, 0.5894481503941783, 0.6286243059839605, 0.701765447667087, 0.7416086130462318, 0.7666878575969485, 0.7666878575969485, 0.5561440677966102, 0.5852242744063324, 0.631718999467802, 0.6080200501253132, 0.6143001007049346, 0.6316841579210395, 0.6316568047337278, 0.6008687258687259, 0.5819128787878788, 0.5818268315889629, 0.5780570323827936, 0.584192439862543, 0.6296844181459567, 0.6454682023034551, 0.6383616383616384, 0.6104477611940299, 0.4700382490437739, 0.48687552921253174, 0.464133219470538, 0.4536213468869123, 0.5222319093286836, 0.518189884649512, 0.44625407166123776, 0.44214487300094074, 0.4727807748896518, 0.41550387596899224, 0.3223404255319149, 0.5057712486883525, 0.5097018457169901, 0.46862116353641775, 0.4095326237852846, 0.38090692124105013, 0.44728132387706854, 0.44043151969981237, 0.4766399244926852, 0.47990654205607475, 0.4992974238875878, 0.585, 0.5880459770114943, 0.654096834264432, 0.672604718343765, 0.6940298507462687, 0.6508165225744477, 0.6557142857142857, 0.6557935735150925, 0.6553086419753087, 0.6882263769580597, 0.6728875064800415, 0.6710929519918284, 0.6685222672064778, 0.687, 0.673202614379085]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35377358490566035, 0.4143484626647145, 0.46107784431137727, 0.40379746835443037, 0.4431072210065646, 0.48068181818181815, 0.5386289445048966, 0.5203761755485894, 0.5667828106852497, 0.6058673469387755, 0.7443105756358769, 0.7677165354330708, 0.5711592836946278, 0.5736793327154773, 0.6048171275646744, 0.5978705978705978, 0.7375762859633828, 0.8124444444444444, 0.8627622377622378, 0.7399702823179792, 0.594775619557937, 0.5578884223155369, 0.58679706601467, 0.5955746773202213, 0.6288343558282209, 0.6488314883148831, 0.6483790523690773, 0.694462126034373, 0.7276264591439688, 0.7335504885993486, 0.8039974210186976, 0.8039974210186976, 0.6002137894174239, 0.6613588110403397, 0.732508073196986, 0.7119838872104733, 0.7360201511335013, 0.735367683841921, 0.7386934673366834, 0.696551724137931, 0.6748911465892597, 0.6666666666666666, 0.6706500956022945, 0.6607824427480916, 0.6790182868142445, 0.6660175267770204, 0.6486486486486487, 0.5973552211582307, 0.4690016103059581, 0.45349285989965266, 0.4316064107342527, 0.4173055859802848, 0.40912356321839083, 0.420584968530174, 0.42726580350342724, 0.43251902282739285, 0.4625735912531539, 0.47818648417450815, 0.48130434782608694, 0.4656290531776913, 0.3923013923013923, 0.36752136752136755, 0.3181996086105675, 0.33476394849785407, 0.34284597341673184, 0.3369090186730234, 0.363855421686747, 0.37567232105916426, 0.38266838266838266, 0.4132791327913279, 0.38737040527803956, 0.36454849498327757, 0.35243139142994706, 0.3339787028073572, 0.21773015099853874, 0.21773399014778325, 0.20469296055916125, 0.20150375939849624, 0.18901209677419356, 0.17028802425467407, 0.14409810935104753, 0.11818644931227713, 0.08217770929635336, 0.06224066390041494]"
Continuity,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, 1.0, 0.984864635415566, 1.0, 0.9858063452800998, 0.9863372208473713, 0.9894491140232554, 1.0, 0.9894958636436928, 0.9894958636436928, 0.9905345667552365, 0.9906448863167973, 0.9790552379109909, 0.9864817603497218, 0.9865683862326778, 0.9802738076724341, 0.9808320090473915, 0.981360939256673, 0.9824307003779748, 0.9776114743926712, 0.9791950197062553, 0.979629233461166, 0.9796282677989407, 0.9799816803173376, 0.98059580926506, 0.9765392316698607, 0.9766426287991369, 0.9814494591454173, 0.9817968095531197, 0.9818500608312094, 0.9824546925485117, 0.9824546925485117, 0.9826487203841661, 0.9784875729100455, 0.9792226738658546, 0.9754227096922589, 0.9760131968410446, 0.9804316385910923, 0.9767484930301535, 1.0, 1.0, 1.0, 0.9755682077810086, 0.9792192462114718, 0.9793775028409848, 0.9965060931717729, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9957036578041061, 1.0, 0.995577163434933, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9906447120411075, 0.976580784536571, 1.0, 1.0, 0.9065720602331935, 0.9179009494342661, 1.0, 0.9962590122550229, 1.0, 0.9961446590562274, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9894936416540814, 0.9894944298564918, 0.9895264747532523, 0.9895255306400125, 0.9905598186291326, 0.9906711442403291, 0.9851132396444495, 0.9795041456026297, 0.9865402708499391, 0.9801063608688816, 0.9805961209414505, 0.981062345692331, 0.9759041947606992, 0.9834997100817285, 0.9787766247527458, 0.984188224212795, 0.9841882064099818, 0.9843703668489732, 0.9797280049232342, 0.9796298349749635, 0.9797284422921312, 0.9751375353033266, 0.9753709595141357, 0.980357617189183, 0.9760063293850341, 0.9760063293850341, 0.9760069969829355, 0.9812048851353086, 0.9773150796152923, 0.9778252534145577, 0.9783115177701529, 0.9789745134631963, 0.9787189769730082, 1.0, 1.0, 1.0, 0.9793032350190678, 0.9479135005687764, 0.9779617462419636, 1.0, 1.0, 1.0, 0.9333802656928157, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8676743283348274, 0.8847626288806628, 0.8920883463091471, 0.9007198853588568, 0.8976826075911479, 0.8990940018950082, 0.9044658525846122, 0.9436310639834501, 0.9575369465008174, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9957280509682317, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.9855585119247058, 1.0, 1.0, 0.9872339795559787, 0.989044800041189, 0.9893817755260425, 0.9894968905436756, 0.9894968905436756, 0.9895297451909416, 0.9895297677732017, 0.9905613339028948, 0.981343976133407, 0.9838668632187019, 0.9762250853476846, 0.9849065607497342, 0.9856901298229434, 0.9859130573658798, 0.9858820173876778, 0.9860991298168956, 0.986543168644778, 0.9830272140555883, 0.9836433292706769, 0.9838656177173585, 0.9787409901581061, 0.9788476391601413, 0.9841886107782803, 0.9654660549172773, 0.9754482687725251, 0.9807471665775794, 0.9808346809923059, 0.9776990311111039, 0.9776990311111039, 0.9779175422914648, 0.9781318640323553, 0.9741503047339437, 0.9787204004263713, 0.9790581537584504, 0.9797556342946276, 0.9763132537494257, 0.9853093441546608, 1.0, 1.0, 0.9764025831895976, 0.9797296586741262, 0.9763513513513513, 0.9965555717316797, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961586385674892, 1.0, 1.0, 1.0, 0.9763467004328041, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9959046521841397, 1.0, 0.99593038383033, 1.0, 1.0, 0.9958242241512842, 0.9958728389019192, 0.9959059073354201, 1.0, 0.9959259945369934, 1.0, 0.9959160150836239, 0.9959160189011251, 0.9959527316405901, 1.0, 0.9960038105754017]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.9843101061927569, 1.0, 1.0, 0.9845630637569776, 0.9893466266417401, 0.98934489630597, 0.9894221833774977, 0.9894558617459079, 0.9894966489877246, 0.9894968333119112, 0.9905293476997187, 0.9906455780137398, 0.9850790087840915, 0.985592644193645, 0.985390473133237, 0.978580362914072, 0.9794141005579222, 0.9741791154447982, 0.9764418391728474, 0.9781139220849482, 0.9742899569987604, 0.9694462363444143, 0.9741644015445537, 0.9741648455989214, 0.9801740128489556, 0.9801114603097145, 0.9800487198352229, 0.9801114603097145, 0.9715963098375558, 0.9813432379058855, 0.9771841408611929, 0.9771841408611929, 0.973829738762603, 0.9608000974042719, 0.9785756634496163, 0.9786328604019198, 0.9348012567988935, 0.9757376814509412, 0.979884383085374, 0.9882004929544626, 1.0, 1.0, 0.9594597211086643, 0.9381592720830985, 0.9276144360015496, 0.9477986249847948, 0.9514683428414142, 0.8976530152969254, 0.9306772770700505, 0.9499331241258536, 0.918425690558712, 0.9712926397089615, 1.0, 0.984424734005324, 0.9569150899348848, 0.9605263184312306, 0.9434578133319671, 0.8256263969731535, 0.6833018965204352, 0.9051409814262543, 0.9907690132044691, 1.0, 1.0, 1.0, 0.9952383107890086, 1.0, 1.0, 1.0, 1.0, 0.9538207150924883, 0.9814869700879651, 1.0, 0.9964830767926321, 0.9754628501950822, 1.0, 1.0, 0.985868890924855, 0.9682050045809236, 0.9963102768046826, 0.959076375521667, 0.9923997436119565, 0.9634919471266064, 0.9927570892906245, 0.9634919308566049]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, 1.0, 1.0, 1.0, 0.9753865983979281, 0.9879759261661394, 0.98945846346521, 0.98945846346521, 0.9894961119698821, 0.9894964545565715, 0.9905304376724898, 0.9906455226016341, 0.9829494137234897, 0.952437704334464, 0.9859135584793882, 0.9733702937532583, 0.9740796918166483, 0.975905829204035, 0.9826249534047784, 0.9787766247527458, 0.9844472553212191, 0.9794655564522907, 0.979365029761401, 0.9794983804014578, 0.9802964521678007, 0.9802964758634385, 0.9801731776244859, 0.9753716703408485, 0.9753716703408485, 0.9754865399649145, 0.9772829514193615, 0.9772829514193615, 0.9743605559855428, 0.9709506103004792, 0.9762538722518765, 0.9732018536817659, 0.973710815532505, 0.9740191544400066, 0.9740191544400066, 0.996235466687591, 1.0, 1.0, 0.9777826243687346, 0.9738965768390386, 0.9776256372906045, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9957097234049461, 1.0, 1.0, 1.0, 1.0, 0.9948915980678554, 1.0, 1.0, 0.9180755363215011, 0.9651487622869545, 0.9803936571075423, 0.9401709258659381, 1.0, 1.0, 0.9901809643064359, 0.9805802342485538, 0.8969353325857043, 0.834710132377841, 0.8155450815092394, 0.7731876452535886, 0.6992026900731645, 0.7139729783838933, 0.443102473441516, 0.4304169941832737, 1.0, 1.0, 1.0, 0.8818053379761626, 0.5754454848800596, 1.0]"
